Port_IDs,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Trade_Types,Rank
3996598927198996481,0.021659722487093355,3509.04461888,1.8001880208728334,-6252361561.028365,0.368282600526118,980,2661,"SELL_LONG, BUY_SHORT, BUY_LONG, SELL_SHORT",67.75
4017323550554338817,0.03955950447515008,3134.7351025000003,3.384577274846258,0.0,0.5009174311926605,273,545,"BUY_BOTH, SELL_BOTH",43.5
3988205565930333696,0.006694553406920349,3283.93800993,1.1737984646760198,-7.971875423762382e+20,0.38005390835579517,141,371,"BUY_LONG, SELL_LONG, BUY_SHORT, SELL_SHORT",88.25
3978449781300392193,0.005023403298026339,5888.6560088,1.934190672260239,-1.0875965292920647e+85,0.4387755102040816,344,784,"BUY_LONG, BUY_SHORT, SELL_SHORT, SELL_LONG",72.0
4031181049693676544,0.016489928857010595,4545.2423384,3.4043514977262808,-6.606757080625443e+51,0.24172185430463577,73,302,"SELL_LONG, BUY_SHORT, BUY_LONG, SELL_SHORT",68.25
4011626972687000576,0.005473790248137371,5483.14982082,1.2264123350949192,-5.138956067379257e+62,0.38408190224570676,2326,6056,"BUY_BOTH, SELL_BOTH",82.75
4023697881318718465,0.06841594107327764,3151.95061998,4.379302524159348,0.0,0.08571428571428572,6,70,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",61.25
4041804592937345281,-0.0026764876164975327,-776.34299969,-1.2370866937735154,-8.064471175846046e+36,0.23097826086956522,85,368,"BUY_LONG, BUY_SHORT, SELL_SHORT, SELL_LONG",141.75
4031173908980084736,0.011550335162156289,5360.425729910001,4.693089768863163,-22.821889999999996,0.37777777777777777,85,225,"SELL_SHORT, BUY_SHORT, BUY_LONG, SELL_LONG",52.75
3891020560590657281,0.03908881805524461,2856.30056379,6.865359950525897,0.0,0.6475972540045767,283,437,"BUY_SHORT, SELL_SHORT, SELL_LONG",28.0
3956076827719377409,0.020142871178753203,16790.01223802,1.5799582960153626,-3.181404548593298e+44,0.5155771195097038,2019,3916,"BUY_LONG, SELL_LONG, BUY_SHORT, SELL_SHORT",44.25
4021669203289716224,0.008121235348786194,26427.33159178,1.083446946650825,-inf,0.31391200951248516,528,1682,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",80.0
3944239644144231424,-0.0024125556806546497,-1187.8909756799994,-0.37672293483322744,-7.238914864584503e+52,0.26456876456876455,227,858,"BUY_LONG, SELL_LONG, BUY_SHORT, SELL_SHORT",139.75
3998572645139652353,0.009404644249995648,9603.58535988,4.163738356174687,-1.2099324743431698e+19,0.35714285714285715,95,266,"SELL_LONG, BUY_SHORT, BUY_LONG, SELL_SHORT",55.5
4031451549482615297,0.019218649755054513,3124.54121527,3.576560419847571,-1.2220261530834536e+36,0.38596491228070173,44,114,"BUY_LONG, SELL_LONG, BUY_SHORT, SELL_SHORT",57.0
4033639786957934336,0.01411743481866999,2848.14185731,3.4036920639939474,0.0,0.16778523489932887,25,149,"SELL_SHORT, BUY_SHORT, BUY_LONG, SELL_LONG",82.75
4029422834086627072,0.0262979269623695,2799.9025498399997,8.12168856900605,0.0,0.37254901960784315,38,102,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",48.0
3914654298562589441,0.0016018815135686554,343.47044905000075,0.17425187473229706,-5.491714617353457e+69,0.4140786749482402,200,483,"SELL_BOTH, BUY_BOTH",120.0
4030565764341697025,0.017072706737319386,2789.8782899599996,5.284610477079052,-1.44827404,0.4857142857142857,51,105,"BUY_LONG, SELL_LONG, BUY_SHORT, SELL_SHORT",42.75
4034786679304751616,0.06137121141245987,2521.07586938,3.3053547737776987,0.0,0.38317757009345793,123,321,"BUY_BOTH, SELL_BOTH",58.5
4029299190618134272,0.01255664566812903,3354.1458763700007,3.7867534496111603,-0.53788037,0.3130434782608696,72,230,"BUY_LONG, SELL_SHORT, BUY_SHORT, SELL_LONG",69.0
4030555430101054209,0.011822998713497837,3358.38032001,5.144708488382387,0.0,0.2644628099173554,32,121,"BUY_LONG, SELL_SHORT, BUY_SHORT, SELL_LONG",67.0
4031414524297538817,0.027062858507229153,2726.7956177399997,4.734994761211807,-3.814648460127013e+74,0.36885245901639346,90,244,"SELL_SHORT, BUY_SHORT, SELL_LONG, BUY_LONG",54.0
3986814617275053313,0.01685996824265469,16337.46188064,5.235199477736295,0.0,0.7822172200337648,2780,3554,"BUY_BOTH, SELL_BOTH",19.75
4019895412775450368,0.02135845168409836,2640.30025492,4.519486597058414,0.0,0.4238178633975482,242,571,"SELL_SHORT, BUY_SHORT, SELL_LONG, BUY_LONG",51.25
4026179081117855488,0.008477311750447865,6796.18836,2.215862983126254,-5.096771001436531e+36,0.233502538071066,46,197,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",79.75
4036548677626662656,0.011294624803889226,3296.87667987,3.852379053179645,0.0,0.46258503401360546,68,147,"BUY_SHORT, BUY_LONG, SELL_SHORT, SELL_LONG",54.25
4017110277719148289,0.009469238906518586,2899.93302141,6.254964030995063,0.0,0.5674603174603174,143,252,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",43.25
4035430878731345664,0.03894179312548001,2493.75041995,7.455292169599199,0.0,0.48314606741573035,43,89,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",38.5
3983074113875692800,0.05589868521779376,2424.8295199599997,5.717975662859889,0.0,0.32558139534883723,14,43,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",55.5
3981810242465907713,0.022360081938221605,2836.47282999,3.128435474828873,-27.765963499375964,0.11428571428571428,12,105,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",78.25
3788465932399412480,0.016536697373780232,13960.966456670001,2.4274051086657233,-0.9949673317893585,0.44607363962202673,1369,3069,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",47.75
4023697433751327232,0.06581765705064667,2408.2239999800004,4.764881853052685,0.0,0.09523809523809523,4,42,"BUY_SHORT, SELL_SHORT",67.0
4029506971304830209,0.0629044075253681,2413.6540000200002,3.8877819796605206,-48051.876620510455,0.057692307692307696,3,52,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",73.0
3977234346014419201,0.08555931177208449,2427.2928308600003,4.837531954412585,0.0,0.39759036144578314,33,83,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",44.5
3995532094997544704,-0.003717786477536121,-12346.682218599999,-1.0198979309844924,-1.2270849331798072e+45,0.21401421252685507,1295,6051,"SELL_BOTH, BUY_BOTH",143.75
4037785885739608577,0.06582305205190574,1934.5792352600001,3.5411844570562434,0.0,0.23228346456692914,59,254,"SELL_BOTH, BUY_BOTH",73.25
